Date,Time,Total radiation irradiance,Wind Speed,Wind Direction,Temperature,Humidity,Power
2019/1/1,0:00:00,0,2.8,221,6.2,74.3,0
2019/1/1,0:15:00,0,2.8,221,6.2,75.3,0
2019/1/1,0:30:00,0,2.8,221,6.2,75.3,0
2019/1/1,0:45:00,0,2.8,220,6.2,75.3,0
2019/1/1,1:00:00,0,2.8,220,6.1,76.4,0
2019/1/1,1:15:00,0,2.8,220,6.1,77.4,0
2019/1/1,1:30:00,0,2.7,218,6,77.4,0
2019/1/1,1:45:00,0,2.7,217,6,78.5,0
2019/1/1,2:00:00,0,2.7,217,5.9,79.5,0
2019/1/1,2:15:00,0,2.7,216,5.8,80.5,0
2019/1/1,2:30:00,0,2.6,215,5.7,81.6,0
2019/1/1,2:45:00,0,2.5,216,5.6,82.6,0
2019/1/1,3:00:00,0,2.5,214,5.5,83.7,0
2019/1/1,3:15:00,0,2.4,213,5.4,84.7,0
2019/1/1,3:30:00,0,2.4,213,5.3,86.8,0
2019/1/1,3:45:00,0,2.4,212,5.1,87.9,0
2019/1/1,4:00:00,0,2.3,212,5,88.9,0
2019/1/1,4:15:00,0,2.3,212,4.8,91,0
2019/1/1,4:30:00,0,2.3,212,4.7,92.1,0
2019/1/1,4:45:00,0,2.3,212,4.5,93.1,0
2019/1/1,5:00:00,0,2.1,211,4.3,94.1,0
2019/1/1,5:15:00,0,2.1,211,4.1,95.2,0
2019/1/1,5:30:00,0,2.1,211,3.9,96.2,0
2019/1/1,5:45:00,0,2.1,211,3.7,96.2,0
2019/1/1,6:00:00,0,2.3,216,3.9,93.1,0
2019/1/1,6:15:00,0,2.2,217,3.7,93.1,0
2019/1/1,6:30:00,0,2.1,218,3.5,93.1,0
2019/1/1,6:45:00,0,2.1,218,3.3,93.1,0
2019/1/1,7:00:00,0,1.9,217,3.1,93.1,0
2019/1/1,7:15:00,0,1.9,219,3.1,93.1,0
2019/1/1,7:30:00,0,1.8,218,3.2,92.1,0
2019/1/1,7:45:00,0,1.7,218,3.2,92.1,0
2019/1/1,8:00:00,0,1.6,219,3.3,91,0
2019/1/1,8:15:00,19,1.6,219,3.5,88.9,0.94
2019/1/1,8:30:00,57,1.4,219,4,87.9,2.81
2019/1/1,8:45:00,95,1.3,221,4.4,86.8,4.68
2019/1/1,9:00:00,133,1.3,218,4.8,84.7,6.55
2019/1/1,9:15:00,173,1.2,218,5.4,82.6,8.52
2019/1/1,9:30:00,214,1.2,220,6.1,80.5,10.54
2019/1/1,9:45:00,255,1.2,220,6.7,78.5,12.56
2019/1/1,10:00:00,297,1.1,217,7.4,75.3,14.63
2019/1/1,10:15:00,337,1.1,222,8.1,73.2,16.6
2019/1/1,10:30:00,374,1.2,225,8.7,70.1,18.43
2019/1/1,10:45:00,411,1.3,230,9.3,68,20.25
2019/1/1,11:00:00,448,1.3,232,10,65.9,22.07
2019/1/1,11:15:00,480,1.5,233,10.6,62.8,23.65
2019/1/1,11:30:00,507,1.6,238,11,59.6,24.98
2019/1/1,11:45:00,535,1.9,239,11.5,57.5,26.36
2019/1/1,12:00:00,563,2.1,241,12,54.4,27.74
2019/1/1,12:15:00,583,2.4,242,12.4,51.3,28.73
2019/1/1,12:30:00,595,2.7,243,12.7,49.2,29.32
2019/1/1,12:45:00,607,3,245,13,47.1,29.91
2019/1/1,13:00:00,620,3.2,245,13.3,43.9,30.55
2019/1/1,13:15:00,617,3.5,246,13.5,42.9,30.4
2019/1/1,13:30:00,597,3.7,245,13.7,40.8,29.42
2019/1/1,13:45:00,578,3.9,245,13.9,38.7,28.48
2019/1/1,14:00:00,559,4.1,246,14,37.7,27.54
2019/1/1,14:15:00,534,4.3,244,14.2,36.6,26.31
2019/1/1,14:30:00,503,4.4,243,14.2,36.6,24.78
2019/1/1,14:45:00,472,4.5,243,14.2,35.6,23.26
2019/1/1,15:00:00,442,4.5,242,14.3,35.6,21.78
2019/1/1,15:15:00,414,4.6,240,14.3,35.6,20.4
2019/1/1,15:30:00,390,4.6,239,14.2,36.6,19.22
2019/1/1,15:45:00,365,4.6,238,14.2,37.7,17.98
2019/1/1,16:00:00,341,4.5,236,14.1,37.7,16.8
2019/1/1,16:15:00,311,4.4,234,13.9,38.7,15.32
2019/1/1,16:30:00,277,4.4,233,13.7,40.8,13.65
2019/1/1,16:45:00,243,4.3,231,13.5,41.8,11.97
2019/1/1,17:00:00,208,4.1,229,13.2,42.9,10.25
2019/1/1,17:15:00,175,4.1,227,12.9,45,8.62
2019/1/1,17:30:00,142,4.1,225,12.6,47.1,7
2019/1/1,17:45:00,110,4,223,12.2,49.2,5.42
2019/1/1,18:00:00,77,3.8,220,11.8,50.2,3.79
2019/1/1,18:15:00,53,3.8,219,11.4,52.3,2.61
2019/1/1,18:30:00,38,3.8,218,11,54.4,1.87
2019/1/1,18:45:00,23,3.6,216,10.6,55.4,1.13
2019/1/1,19:00:00,8,3.5,214,10.1,57.5,0.39
2019/1/1,19:15:00,0,3.5,213,9.7,59.6,0
2019/1/1,19:30:00,0,3.5,212,9.4,61.7,0
2019/1/1,19:45:00,0,3.4,210,9,62.8,0
2019/1/1,20:00:00,0,3.3,209,8.6,63.8,0
2019/1/1,20:15:00,0,3.2,208,8.3,65.9,0
2019/1/1,20:30:00,0,3.2,209,8.1,66.9,0
2019/1/1,20:45:00,0,3.2,208,7.9,66.9,0
2019/1/1,21:00:00,0,3.2,208,7.6,68,0
2019/1/1,21:15:00,0,3.1,208,7.5,69,0
2019/1/1,21:30:00,0,3.1,210,7.4,69,0
2019/1/1,21:45:00,0,3.1,211,7.3,69,0
2019/1/1,22:00:00,0,3.1,211,7.2,70.1,0
2019/1/1,22:15:00,0,3,212,7.1,71.1,0
2019/1/1,22:30:00,0,3,212,7,71.1,0
2019/1/1,22:45:00,0,3,214,6.9,71.1,0
2019/1/1,23:00:00,0,3,214,6.8,72.2,0
2019/1/1,23:15:00,0,3,214,6.7,73.2,0
2019/1/1,23:30:00,0,3,214,6.5,74.3,0
2019/1/1,23:45:00,0,3,213,6.4,75.3,0
2019/1/2,0:00:00,0,3,213,6.3,76.4,0
2019/1/2,0:15:00,0,3,213,6.1,77.4,0
2019/1/2,0:30:00,0,3,213,5.9,78.5,0
2019/1/2,0:45:00,0,3,211,5.8,80.5,0
2019/1/2,1:00:00,0,3,210,5.6,82.6,0
2019/1/2,1:15:00,0,3,210,5.5,83.7,0
2019/1/2,1:30:00,0,3,210,5.3,84.7,0
2019/1/2,1:45:00,0,3,208,5.2,86.8,0
2019/1/2,2:00:00,0,2.9,207,5.1,88.9,0
2019/1/2,2:15:00,0,2.9,207,5,90,0
2019/1/2,2:30:00,0,2.9,207,4.9,91,0
2019/1/2,2:45:00,0,2.8,208,4.8,93.1,0
2019/1/2,3:00:00,0,2.8,207,4.8,95.2,0
2019/1/2,3:15:00,0,2.8,207,4.7,96.2,0
2019/1/2,3:30:00,0,2.8,207,4.6,97.3,0
2019/1/2,3:45:00,0,2.7,207,4.6,99.4,0
2019/1/2,4:00:00,0,2.7,208,4.5,100,0
2019/1/2,4:15:00,0,2.7,209,4.4,100,0
2019/1/2,4:30:00,0,2.7,209,4.3,100,0
2019/1/2,4:45:00,0,2.7,209,4.2,100,0
2019/1/2,5:00:00,0,2.7,211,4.1,100,0
2019/1/2,5:15:00,0,2.8,212,3.9,100,0
2019/1/2,5:30:00,0,2.8,212,3.8,100,0
2019/1/2,5:45:00,0,2.9,211,3.7,100,0
2019/1/2,6:00:00,0,2.3,206,2.9,96.3,0
2019/1/2,6:15:00,0,2.4,205,2.7,97.3,0
2019/1/2,6:30:00,0,2.5,204,2.5,98.3,0
2019/1/2,6:45:00,0,2.6,205,2.4,98.3,0
2019/1/2,7:00:00,0,2.7,204,2.3,98.3,0
2019/1/2,7:15:00,0,2.7,204,2.3,98.3,0
2019/1/2,7:30:00,0,2.8,205,2.4,97.3,0
2019/1/2,7:45:00,0,2.8,205,2.5,96.2,0
2019/1/2,8:00:00,0,2.8,205,2.7,96.2,0
2019/1/2,8:15:00,18,2.8,205,2.9,94.1,0.88
2019/1/2,8:30:00,55,2.7,206,3.4,92.1,2.7
2019/1/2,8:45:00,92,2.7,207,3.8,90,4.52
2019/1/2,9:00:00,128,2.5,206,4.2,87.9,6.29
2019/1/2,9:15:00,166,2.4,207,4.7,85.8,8.16
2019/1/2,9:30:00,206,2.4,208,5.3,82.6,10.13
2019/1/2,9:45:00,246,2.3,209,6,80.5,12.09
2019/1/2,10:00:00,285,2.1,211,6.6,78.5,14.01
2019/1/2,10:15:00,327,2,213,7.2,75.3,16.08
2019/1/2,10:30:00,371,2,214,7.8,72.2,18.24
2019/1/2,10:45:00,414,1.9,216,8.4,70.1,20.35
2019/1/2,11:00:00,457,1.8,218,9,66.9,22.47
2019/1/2,11:15:00,497,1.8,222,9.6,63.8,24.43
2019/1/2,11:30:00,534,1.8,222,10,61.7,26.25
2019/1/2,11:45:00,571,1.8,225,10.4,59.6,28.07
2019/1/2,12:00:00,608,1.8,228,10.9,56.5,29.89
2019/1/2,12:15:00,633,1.8,230,11.3,54.4,31.12
2019/1/2,12:30:00,647,1.9,231,11.6,52.3,31.81
2019/1/2,12:45:00,660,2,231,12,50.2,32.45
2019/1/2,13:00:00,675,2.1,232,12.3,48.1,33.18
2019/1/2,13:15:00,682,2.1,232,12.5,47.1,33.53
2019/1/2,13:30:00,682,2.3,232,12.7,45,33.53
2019/1/2,13:45:00,681,2.4,231,13,42.9,33.48
2019/1/2,14:00:00,680,2.5,232,13.2,41.8,33.43
